#mpa_v30_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	SRR5665187	SRR5665186	SRR5665185	SRR5665184	SRR5665183	SRR5665182	SRR5665181	SRR5665180	SRR5665179	SRR5665178	SRR5665177	SRR5665176	SRR5665174	SRR5665173	SRR5665172	SRR5665171	SRR5665170	SRR5665169	SRR5665168	SRR5665167	SRR5665164	SRR5665163	SRR5665162	SRR5665161	SRR5665160	SRR5665159	SRR5665158	SRR5665157	SRR5665156	SRR5665155	SRR5665154	SRR5665153	SRR5665152	SRR5665151	SRR5665150	SRR5665149	SRR5665148	SRR5665147	SRR5665146	SRR5665145	SRR5665144	SRR5665133	SRR5665132	SRR5665131	SRR5665130	SRR5665129	SRR5665128	SRR5665127	SRR5665126	SRR5665125	SRR5665124	SRR5665122	SRR5665113	SRR5665112	SRR5665111	SRR5665110	SRR5665109	SRR5665108	SRR5665107	SRR5665106	SRR5665105	SRR5665104	SRR5665103	SRR5665092	SRR5665083	SRR5665082	SRR5665071	SRR5665070	SRR5665069	SRR5665068	SRR5665067	SRR5665066	SRR5665065	SRR5665064	SRR5665063	SRR5665062	SRR5665061	SRR5665060	SRR5665059	SRR5665058	SRR5665057	SRR5665056	SRR5665055	SRR5665054	SRR5665053	SRR5665052	SRR5665051	SRR5665050	SRR5665049	SRR5665048	SRR5665047	SRR5665046	SRR5665045	SRR5665044	SRR5665043	SRR5665042	SRR5665041	SRR5665040	SRR5665039	SRR5665038	SRR5665037	SRR5665035	SRR5665034	SRR5665033	SRR5665032	SRR5665031	SRR5665030	SRR5665029	SRR5665028	SRR5665027	SRR5665026	SRR5665025	SRR5665024
g__Brevundimonas	41275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.70798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Burkholderia	32008	0	0	0	0	0	0	0	0	0	0	5.35299	0.28149	1.14761	0	0	0	0	0	46.24727	40.16545	0	0	0	0	0	0	0	0	0	0	8.47374	0.70912	0	0	8.82321	0.95395	5.70971	16.38787	0	0	0	0	0	0	34.96096	0	0	0	0	0.58388	47.80604	0	0	0	15.71399	0	12.79551	0	0	3.687	41.98669	0	0	0	0	4.68372	2.5292	100.0	38.1521	0	0	21.93445	14.74392	2.01381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.37577	0	0	89.41505	0	0	0	0	0	0	0	0	0	0	0	0
g__Butyricicoccus	580596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.74713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67.134	0	0	0	24.90947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14709	0	0	0	0	0
g__Butyrivibrio	830.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.66171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.93309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Candidatus_Stoquefichus	1470349.0	0	0	0	0	0	0	0	0	0	0.43768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Catabacter	270497.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Catenibacterium	135858.0	0	0	0	0	0	11.56963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.13285	0	0.09024	0.58663	0	0	0	0	0	0	0	0	0	0	0	0.68018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Christensenella	990721.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0057	0	0	0.0706	0.02184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Citrobacter	544.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00635	0	0	0	0	0	0	0.07568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.54213	0	0	0	0	0	0	0	0
g__Cloacibacillus	508459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.02345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
