"ERR9830889" "ERR9830890" "ERR9830891" "ERR9830892" "ERR9830893" "ERR9830894" "ERR9830895" "ERR9830896" "ERR9830897" "ERR9830898" "ERR9830899" "ERR9830900" "ERR9830901" "ERR9830902" "ERR9830903" "ERR9830904" "ERR9830905" "ERR9830906" "ERR9830907" "ERR9830908" "ERR9830909" "ERR9830910" "ERR9830911" "ERR9830912" "ERR9830913" "ERR9830914" "ERR9830915" "ERR9830916" "ERR9830917" "ERR9830918" "ERR9830919" "ERR9830920" "ERR9830921" "ERR9830922" "ERR9830923" "ERR9830924" "ERR9830925" "ERR9830926" "ERR9830927" "ERR9830928" "ERR9830929" "ERR9830930" "ERR9830931" "ERR9830932" "ERR9830933" "ERR9830934" "ERR9830935" "ERR9830936" "ERR9830937" "ERR9830938" "ERR9830939" "ERR9830940" "ERR9830941" "ERR9830942" "ERR9830943" "ERR9830944" "ERR9830945" "ERR9830946" "ERR9830947" "ERR9830948" "ERR9830949" "ERR9830950" "ERR9830951" "ERR9830952" "ERR9830953" "ERR9830954" "ERR9830955" "ERR9830956" "ERR9830957" "ERR9830958" "ERR9830959" "ERR9830960" "ERR9830961" "ERR9830962" "ERR9830963" "ERR9830964" "ERR9830965" "ERR9830966" "ERR9830967" "ERR9830968" "ERR9830969" "ERR9830970" "ERR9830971" "ERR9830972" "ERR9830973" "ERR9830974" "ERR9830975" "ERR9830976" "ERR9830977"
"Klebsiella" 0 26 1461 0 17 0 434 216 1207 0 363 913 108 55 141 69 549 1180 7502 290 0 64 0 12 239 3240 22428 4554 38 1491 0 0 8 0 0 0 0 208 26 18 5289 694 43 838 245 1131 89 803 2054 104 61 76 28 725 0 136 163 129 6 169 3500 429 22 23 1085 171 161 41 946 31 158 0 0 26 0 47 0 0 100 2552 128 73 627 0 3368 277 31 1191 13216
"Anaerobiospirillum" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 46 0 0 0 0 0 0 0 0 0 0 0 0 0
"Succinivibrio" 0 0 398 122 14 0 13097 0 9147 23 17 11 16420 72 68 13 0 39 26 37 22 33 29 38 0 27 0 28 0 0 1994 27 0 24 21 28 21 12813 4267 11428 40565 0 119 0 28 20 6653 4069 57 28 22 25 23 15 0 0 16801 1331 0 20 11 145 0 0 1454 12484 3266 13 12226 269 0 0 22764 21725 0 4021 11 0 0 1265 0 0 0 0 15 135 16158 7 11
"Haemophilus" 4 0 13 0 5 0 74 57 53 8 127 64 0 3 47 10 20 0 158 0 5 49 3 0 45 5 47 18 278 61 0 44 5 25 0 48 3 91 3 18 9 217 15 225 0 0 0 128 82 117 300 0 26 7 5 88 242 240 10 0 301 0 8 4 25 14 6 0 101 41 0 0 19 29 0 82 5 106 6 57 47 47 0 0 33 79 0 51 21
"Roseateles" 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0
"Variovorax" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Hydrogenophaga" 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Ottowia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 41 0 0 0
"Comamonas" 0 0 0 0 0 0 0 0 1109 4 0 0 0 0 0 0 0 52 12 0 69 0 0 0 0 0 0 4 0 2397 0 0 0 0 0 0 0 7 0 19 9 0 13 7 6 11 599 0 21 0 3 0 0 18 0 758 0 389 0 11 0 19 0 0 127 0 673 34 0 0 0 0 0 0 0 0 0 0 0 748 0 8 0 0 0 65 0 0 0
"Thauera" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 146 0 0 0
