"","ERR9830889","ERR9830890","ERR9830891","ERR9830892","ERR9830893","ERR9830894","ERR9830895","ERR9830896","ERR9830897","ERR9830898","ERR9830899","ERR9830900","ERR9830901","ERR9830902","ERR9830903","ERR9830904","ERR9830905","ERR9830906","ERR9830907","ERR9830908","ERR9830909","ERR9830910","ERR9830911","ERR9830912","ERR9830913","ERR9830914","ERR9830915","ERR9830916","ERR9830917","ERR9830918","ERR9830919","ERR9830920","ERR9830921","ERR9830922","ERR9830923","ERR9830924","ERR9830925","ERR9830926","ERR9830927","ERR9830928","ERR9830929","ERR9830930","ERR9830931","ERR9830932","ERR9830933","ERR9830934","ERR9830935","ERR9830936","ERR9830937","ERR9830938","ERR9830939","ERR9830940","ERR9830941","ERR9830942","ERR9830943","ERR9830944","ERR9830945","ERR9830946","ERR9830947","ERR9830948","ERR9830949","ERR9830950","ERR9830951","ERR9830952","ERR9830953","ERR9830954","ERR9830955","ERR9830956","ERR9830957","ERR9830958","ERR9830959","ERR9830960","ERR9830961","ERR9830962","ERR9830963","ERR9830964","ERR9830965","ERR9830966","ERR9830967","ERR9830968","ERR9830969","ERR9830970","ERR9830971","ERR9830972","ERR9830973","ERR9830974","ERR9830975","ERR9830976","ERR9830977"
"df7067a5ff09d53b89a9ab2e8bba84c7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"ff48ea2b9d30c737b53aeb9841179d57",0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,26,0,0,18,0,0,40,0,0,0,42,0,438,3280,117,0,2,0,0,0,0,9,0,0,0,0,0,0,0,550,0,0,0,0,0,516,17,0,778,135,121,0,307,0,0,0,0,18,0,7,62,38,551,0,0,0,0,0,0,0,0,154,34,3,0,0,0,0,0,0,0,6
"22b3c70cdfb1714224e1bf8a6314bee9",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71795387391528c8966e4c44448039ca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b2574632cd105083065793a728d40c81",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2102f51f3591341a5e15fb5958ee321c",0,6,0,0,16,0,0,0,33,8,8,0,8,0,9,2,0,0,0,0,0,0,0,3,0,0,0,6,0,46,29,9,16,4,0,0,0,0,6,0,25,0,8,12,0,6,0,0,0,11,0,9,0,11,0,19,26,0,27,29,5,0,0,84,4,0,2,0,0,8,0,3,32,19,27,0,10,0,0,12,7,0,0,0,0,0,181,15,8
"40624a122b3cddee86f81168cb008a17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5b7ee395be95a764141c6f3ba209047f",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5c68ef2fd4b94cf4e302d4c8e2ef1fe1",0,12,0,21,0,0,48,28,50,0,0,0,0,0,3,16,0,22,0,0,8,35,68,0,0,0,0,14,0,238,536,9,0,0,0,0,0,0,303,0,251,0,36,0,5,0,5,0,17,0,0,0,0,36,11,628,0,149,5,0,0,162,3,0,988,0,0,0,49,0,0,0,0,0,0,32,0,0,7,0,0,0,0,0,9,2,0,76,5
"889f033ba9c5bb9a721a2c7c84816ca6",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,27,0,0,0,3,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
