feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X.Eubacterium._sulci_group	sample_type	healthy volunteer	-0.312541366612277	0.202280215224769	89	9	0.125954146529433	0.244910840473898
Veillonella	sample_type	healthy volunteer	-0.922429614831249	0.606606557981535	89	52	0.131976672865096	0.246849069869358
Actinomyces	sample_type	healthy volunteer	-0.694211356633555	0.452514235328937	89	41	0.128628720839858	0.246849069869358
Parolsenella	sample_type	healthy volunteer	1.16455588257843	0.767070697483076	89	32	0.132593214672684	0.246849069869358
UCG.003	sample_type	healthy volunteer	-0.624129428078473	0.410050440525549	89	76	0.131615671307776	0.246849069869358
Lawsonella	sample_type	healthy volunteer	0.251104089411594	0.177500102003663	89	9	0.160734384940113	0.296089656468629
Granulicatella	sample_type	healthy volunteer	-0.590238352065111	0.428619817540091	89	23	0.172024409387629	0.310353315905516
Clostridium	sample_type	healthy volunteer	-0.790328660810669	0.573013638084249	89	79	0.171353204316402	0.310353315905516
Rothia	sample_type	healthy volunteer	0.401071049924914	0.296744897398354	89	34	0.180017220274816	0.321459321919314
Dorea	sample_type	healthy volunteer	-0.293594902666268	0.220934137743768	89	89	0.18736242684359	0.331196209066951
Streptococcus	sample_type	healthy volunteer	-0.745057531619914	0.569743676343713	89	85	0.194417968883115	0.340231445545451
Lachnospiraceae_UCG.008	sample_type	healthy volunteer	-0.785426353880877	0.610583787844859	89	63	0.201732557457695	0.349536609456403
Megamonas	sample_type	healthy volunteer	0.601815206424985	0.479943485040155	89	21	0.213226577671546	0.36582991267177
Lactobacillus	sample_type	healthy volunteer	-0.812638502542277	0.653163544063778	89	43	0.216783094356579	0.368320791382536
X.Eubacterium._ruminantium_group	sample_type	healthy volunteer	-0.568699540350043	0.459870397215909	89	32	0.219544379681549	0.369425638887222
Allisonella	sample_type	healthy volunteer	-0.42632413884289	0.356348293980738	89	30	0.234802735448081	0.390688025444693
GCA.900066575	sample_type	healthy volunteer	-0.437069747917397	0.36678182600374	89	61	0.236645318269357	0.390688025444693
Erysipelotrichaceae_UCG.003	sample_type	healthy volunteer	0.765289232880165	0.653056288510066	89	48	0.24445324553914	0.399806709993921
