feature	g__Actinomyces	g__Adlercreutzia	g__Agathobaculum	g__Akkermansia	g__Alistipes	g__Anaerostipes	g__Asaccharobacter	g__Bacteroides	g__Barnesiella	g__Bifidobacterium	g__Blautia	g__Burkholderia	g__Clostridium	g__Collinsella	g__Coprococcus	g__Dialister	g__Dorea	g__Eggerthella	g__Eisenbergiella	g__Enorma	g__Erysipelatoclostridium	g__Escherichia	g__Eubacterium	g__Faecalibacterium	g__Firmicutes_unclassified	g__Flavonifractor	g__Fusicatenibacter	g__Gemmiger	g__Gordonibacter	g__Intestinibacter	g__Lachnoclostridium	g__Lachnospiraceae_unclassified	g__Methanobrevibacter	g__Monoglobus	g__Oscillibacter	g__Parabacteroides	g__Phascolarctobacterium	g__Roseburia	g__Rothia	g__Ruminococcaceae_unclassified	g__Ruminococcus	g__Ruthenibacterium	g__Streptococcus	g__Turicibacter
SRR5665106	0	0	0	0	0	0	0	0	0	0	0	3.687	1.26412	0	0	0	0	0	0	0	0	0	0	23.10201	0	0	0	0	0	41.43459	0	0	0	0	0	0	0	12.09882	0	0	0	0	0.13068	6.33683
SRR5665105	0	0	0	0	0	0	0	0	0	0	0.77253	41.98669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR5665104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR5665103	0.00938	0	0	0.06527	0	12.52227	0	0	0	4.13958	33.14626	0	0.08575	0	5.58357	0	1.72773	0	0	0	0.21656	8.26082	0.41261	2.16591	0	0	1.12851	0	0.49067	0	0.25992	15.90122	0	0	0	0	0	0.02647	0	0	0	0	4.75577	0
SRR5665092	0	0	0	0	0	0	0	9.26845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70.30624	0	0	0	0	0	4.2525	0	0.54279	0	0	0	0	0	0	0	0	0	0	0	15.63001
SRR5665083	0	0	0	0	2.35337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91.58408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.77171	0	0	0
SRR5665082	0	0	0	0	0	0	0	8.88856	0	0	0	4.68372	0	0	0	0	0	0	0	0	0	0	0	59.00045	0	0	0	0	0	0	0	0	0	0	0	2.40382	0	0	0	0	0	0	0	0
SRR5665071	0	0	0	0	0	0	0	6.7594	0	0	0.64462	2.5292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR5665070	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR5665069	0	0	0	0	18.55379	0	0	30.23671	0	0	0	38.1521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.95979	0	0	0	0	0	0
SRR5665068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR5665067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0
SRR5665066	0	0	0	0	0	0	0	0	0	0	0	21.93445	0	0	0	0	0	0	0	0	0	0	0	17.45325	0	0	0	0	0	0	0	0	0	0	0	60.61229	0	0	0	0	0	0	0	0
SRR5665065	0	0	0	0	0	0	0	0	0	0	0	14.74392	25.65249	0	0	0	0	0	0	0	0	0	0	24.29156	0	0	0	0	0	0	0	0	0	0	0	9.2349	0	20.2905	0	0	3.45598	0	0	0
SRR5665064	0	0	0	0	1.64703	0	0	2.1921	0	0	0	2.01381	0	0	0	0	0	0	0	0	0	0	0	23.26666	0	0	0	0.09622	0	0	0	0	0	0	0	69.65817	0	0.83133	0	0	0.29468	0	0	0
SRR5665063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.65231	0	35.6467	0	0	0	0	0	0	0	0	0	0.63063	0	0	0	0	35.07036	0	0	0
SRR5665062	0	0	0	0	0	0	0	2.02309	0.06059	0	0.00781	0	0	0	0	0	0	0	0	0	0	0	0	87.566	0.33959	0	0	0	0	0	0	0	0	0	0	1.69419	0	0	0	0	8.02395	0	0	0.28478
SRR5665061	0.01364	0	0.05725	0	0.22769	6.78987	0	10.64222	0	0	47.28161	0	0	5.78884	3.50646	0	2.44099	3.76383	0	0	1.52823	5.97488	0.08562	0.1464	2.05887	1.31314	1.02237	0	0.55707	0	0.12317	0.76839	0	0	0	0	0.05213	0.37351	0	0	0	3.92123	0.82323	0
SRR5665060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR5665059	0	0.19613	0.41498	0	0	2.28125	0.20201	0	0	0	52.17015	0	0	7.39217	0	0	4.19076	0.12483	0	0	0	0	9.38053	2.75226	0.00271	0	12.06688	0	0.07975	0	0	5.61183	0	0.0053	0	0	0	0	0	0	1.91235	0.01103	0.07223	0
SRR5665058	0	0.58566	0.89308	0	0	1.32289	0.68921	0	0	12.6136	3.42819	0	0.52082	6.40394	0.63775	0	2.59886	0	0	0	0	43.35191	0.56869	8.69469	0.04973	0	0.83771	0.23078	0	0	0	0.26264	0.45066	0	0	0.15465	0	6.73326	0	0	5.64247	0.03238	0	0.04509
SRR5665057	0	0.03327	0	31.20386	1.21992	0.61864	0.0833	2.27497	0.35619	3.85796	8.48959	0	0.2194	1.76177	6.65991	0	0.45674	0	0.01662	0	0	2.05857	4.40749	8.02268	0.15207	0.09857	2.42887	0.06591	0	0	0	4.7645	3.77213	0	3.83547	0.53749	0.27541	1.41847	0	0.54085	5.49398	1.10827	0.33418	0
SRR5665056	0.03017	0	0	0	0	7.91345	0	0	0	45.08896	7.48523	0	0	13.92399	6.17344	0	7.78675	1.9064	0	0.01106	0	0	0	0.13068	0	0	4.12022	0.07153	0.4154	0	0.37851	1.50714	0	0.29085	0	0	0	1.28434	0	0	0.29703	0	0.59824	0
