feature	g__Actinomyces	g__Adlercreutzia	g__Agathobaculum	g__Akkermansia	g__Alistipes	g__Anaerostipes	g__Asaccharobacter	g__Bacteroides	g__Barnesiella	g__Bifidobacterium	g__Blautia	g__Burkholderia	g__Clostridium	g__Collinsella	g__Coprococcus	g__Dialister	g__Dorea	g__Eggerthella	g__Eisenbergiella	g__Enorma	g__Erysipelatoclostridium	g__Escherichia	g__Eubacterium	g__Faecalibacterium	g__Firmicutes_unclassified	g__Flavonifractor	g__Fusicatenibacter	g__Gemmiger	g__Gordonibacter	g__Intestinibacter	g__Lachnoclostridium	g__Lachnospiraceae_unclassified	g__Methanobrevibacter	g__Monoglobus	g__Oscillibacter	g__Parabacteroides	g__Phascolarctobacterium	g__Roseburia	g__Rothia	g__Ruminococcaceae_unclassified	g__Ruminococcus	g__Ruthenibacterium	g__Streptococcus	g__Turicibacter
SRR5665177	-7.78786649246624	-7.73005722482403	-8.41981591555679	-6.5455713940513	-6.23188767941459	-3.68761363503091	-9.41488362001456	1.35904319149657	-6.83732590051516	-4.83423595493283	3.61298818258163	2.42034495753542	-9.10979458735361	-4.35078004302706	-8.15020885579951	-8.43721296579133	-4.32496094007642	-8.53282487738598	-7.24550581942876	-10.2697904715522	-8.38082178394093	-8.22593618196276	-4.54590835423989	1.04568060444202	-9.52749143308294	-10.1584293626045	-4.13568110874205	-9.23026210736555	-7.43721296579133	4.8681044540034	-8.63522588463128	-7.94075549017056	-7.47136867426459	-8.55979192498625	-7.90228134235593	2.09544512940831	-7.7830919871459	2.69893409085778	-9.85475297227334	-6.67964241182779	-6.56866587561951	-7.86985986466355	-6.78627323439058	5.24073829724053
SRR5665176	-7.78786649246624	-7.73005722482403	-8.41981591555679	-6.5455713940513	-6.23188767941459	-3.68761363503091	-9.41488362001456	2.08129530957954	-6.83732590051516	-4.83423595493283	-8.00046173629483	-1.82884442376007	-9.10979458735361	-4.35078004302706	-8.15020885579951	3.51966392716385	-4.32496094007642	-8.53282487738598	-7.24550581942876	-10.2697904715522	-8.38082178394093	-8.22593618196276	-4.54590835423989	4.75632360455074	-9.52749143308294	-10.1584293626045	-4.13568110874205	-9.23026210736555	-7.43721296579133	-6.84559825713022	-8.63522588463128	-7.94075549017056	-7.47136867426459	-8.55979192498625	-7.90228134235593	-7.96578428466209	-7.7830919871459	1.35599164295809	-9.85475297227334	-6.67964241182779	-6.56866587561951	-4.25263838217183	-6.78627323439058	-7.46625726044699
SRR5665174	-7.78786649246624	-7.73005722482403	-8.41981591555679	-6.5455713940513	-6.23188767941459	-3.68761363503091	-9.41488362001456	0.653601212927355	-6.83732590051516	-4.83423595493283	-8.00046173629483	0.198632444574698	-9.10979458735361	-4.35078004302706	-8.15020885579951	-8.43721296579133	-4.32496094007642	-8.53282487738598	-7.24550581942876	-10.2697904715522	-8.38082178394093	-8.22593618196276	-4.54590835423989	-7.57897333818987	-9.52749143308294	-10.1584293626045	-4.13568110874205	-9.23026210736555	-7.43721296579133	6.4370387657182	-8.63522588463128	-7.94075549017056	-7.47136867426459	-8.55979192498625	-7.90228134235593	1.48738344303651	-7.7830919871459	-8.08411966534174	-9.85475297227334	-6.67964241182779	1.82466603620963	-7.86985986466355	-6.78627323439058	2.10050676131558
SRR5665173	-7.78786649246624	-7.73005722482403	-8.41981591555679	-6.5455713940513	-6.23188767941459	-3.68761363503091	-9.41488362001456	-7.56115360044448	-6.83732590051516	-4.83423595493283	-8.00046173629483	-2.82884442376007	-9.10979458735361	-4.35078004302706	-8.15020885579951	-8.43721296579133	-4.32496094007642	-8.53282487738598	-7.24550581942876	-10.2697904715522	-8.38082178394093	-8.22593618196276	-0.146211892348595	3.60889320035375	0.222854009899301	-10.1584293626045	-4.13568110874205	-9.23026210736555	-7.43721296579133	-6.84559825713022	-8.63522588463128	-7.94075549017056	-7.47136867426459	-8.55979192498625	-7.90228134235593	-7.96578428466209	-7.7830919871459	-8.08411966534174	-9.85475297227334	6.12433868218943	3.99712346601535	-7.86985986466355	-6.78627323439058	-7.46625726044699
SRR5665172	-7.78786649246624	-7.73005722482403	-8.41981591555679	-6.5455713940513	-6.23188767941459	-3.68761363503091	-9.41488362001456	6.38260345046296	-6.83732590051516	-4.83423595493283	-8.00046173629483	-2.82884442376007	-9.10979458735361	-4.35078004302706	-8.15020885579951	-8.43721296579133	-4.32496094007642	-8.53282487738598	-7.24550581942876	-10.2697904715522	-8.38082178394093	-8.22593618196276	-4.54590835423989	-7.57897333818987	-9.52749143308294	-10.1584293626045	-4.13568110874205	-9.23026210736555	-7.43721296579133	-6.84559825713022	-8.63522588463128	-7.94075549017056	-7.47136867426459	-8.55979192498625	-7.90228134235593	-7.96578428466209	4.04995220200459	-8.08411966534174	-9.85475297227334	-6.67964241182779	-6.56866587561951	-7.86985986466355	-6.78627323439058	-7.46625726044699
SRR5665171	-7.78786649246624	-7.73005722482403	-8.41981591555679	-6.5455713940513	-6.23188767941459	-3.68761363503091	-9.41488362001456	-7.56115360044448	-6.83732590051516	-4.83423595493283	-8.00046173629483	-2.82884442376007	-9.10979458735361	-4.35078004302706	-8.15020885579951	-8.43721296579133	-4.32496094007642	-8.53282487738598	-7.24550581942876	-10.2697904715522	-8.38082178394093	-8.22593618196276	-4.54590835423989	-7.57897333818987	-9.52749143308294	-10.1584293626045	-4.13568110874205	-9.23026210736555	-7.43721296579133	-6.84559825713022	-8.63522588463128	-7.94075549017056	-7.47136867426459	-8.55979192498625	-7.90228134235593	-7.96578428466209	-7.7830919871459	-8.08411966534174	-9.85475297227334	-6.67964241182779	-6.56866587561951	-7.86985986466355	-6.78627323439058	-7.46625726044699
SRR5665170	-7.78786649246624	-7.73005722482403	-8.41981591555679	-6.5455713940513	-6.23188767941459	-3.68761363503091	-9.41488362001456	-2.42623770442368	-6.83732590051516	-4.83423595493283	-0.476257404742868	-2.82884442376007	0.477812007350776	-4.35078004302706	-8.15020885579951	-8.43721296579133	-4.32496094007642	-8.53282487738598	-7.24550581942876	-10.2697904715522	-8.38082178394093	-8.22593618196276	-0.256011176809147	5.51748231770207	-9.52749143308294	-10.1584293626045	-4.13568110874205	-9.23026210736555	-7.43721296579133	-0.873053566970303	-8.63522588463128	-7.94075549017056	-7.47136867426459	-8.55979192498625	-7.90228134235593	-7.96578428466209	-7.7830919871459	4.60085608607329	-9.85475297227334	-6.67964241182779	-6.56866587561951	-7.86985986466355	-6.78627323439058	4.61255774084708
SRR5665169	-7.78786649246624	-7.73005722482403	-8.41981591555679	-6.5455713940513	-6.23188767941459	-3.68761363503091	-9.41488362001456	-7.56115360044448	-6.83732590051516	-4.83423595493283	-8.00046173629483	-2.82884442376007	-9.10979458735361	-4.35078004302706	-8.15020885579951	-8.43721296579133	-4.32496094007642	-8.53282487738598	-7.24550581942876	-10.2697904715522	-8.38082178394093	-8.22593618196276	-4.54590835423989	-7.57897333818987	-9.52749143308294	-10.1584293626045	-4.13568110874205	-9.23026210736555	-7.43721296579133	-6.84559825713022	-8.63522588463128	-7.94075549017056	-7.47136867426459	-8.55979192498625	-7.90228134235593	-7.96578428466209	-7.7830919871459	-8.08411966534174	-9.85475297227334	-6.67964241182779	-6.56866587561951	-7.86985986466355	-6.78627323439058	-7.46625726044699
SRR5665168	-7.78786649246624	-7.73005722482403	-8.41981591555679	-6.5455713940513	-6.23188767941459	-3.68761363503091	-9.41488362001456	-7.56115360044448	-6.83732590051516	-4.83423595493283	-8.00046173629483	5.53129630000373	4.88880606868169	-4.35078004302706	-8.15020885579951	-8.43721296579133	-4.32496094007642	-8.53282487738598	-7.24550581942876	-10.2697904715522	-8.38082178394093	-8.22593618196276	-4.54590835423989	-7.57897333818987	-9.52749143308294	-10.1584293626045	-4.13568110874205	-9.23026210736555	-7.43721296579133	-6.84559825713022	-8.63522588463128	-7.94075549017056	-7.47136867426459	-8.55979192498625	-7.90228134235593	-7.96578428466209	-7.7830919871459	-8.08411966534174	-9.85475297227334	-6.67964241182779	2.78658799841705	-7.86985986466355	3.90851703847322	-7.46625726044699
SRR5665167	-7.78786649246624	-7.73005722482403	-8.41981591555679	-6.5455713940513	-6.23188767941459	-3.68761363503091	-9.41488362001456	4.45619569965542	-6.83732590051516	-4.83423595493283	-8.00046173629483	5.32788313495567	-9.10979458735361	-4.35078004302706	-8.15020885579951	-8.43721296579133	-4.32496094007642	-8.53282487738598	-7.24550581942876	-10.2697904715522	-8.38082178394093	-8.22593618196276	-4.54590835423989	4.06255003477745	-9.52749143308294	-10.1584293626045	-4.13568110874205	-9.23026210736555	-7.43721296579133	-6.84559825713022	-8.63522588463128	-7.94075549017056	-7.47136867426459	-8.55979192498625	-7.90228134235593	-7.96578428466209	-7.7830919871459	-8.08411966534174	-9.85475297227334	-6.67964241182779	-6.56866587561951	-7.86985986466355	-6.78627323439058	-7.46625726044699
SRR5665164	-3.90379213092787	-4.90530450325449	-2.8088416637532	-6.5455713940513	-0.282035203821241	3.27101474232914	-8.41488362001456	1.96329285090236	-2.14816102715066	2.06475181692604	3.64157146098748	-2.82884442376007	-1.45589054488873	3.33277523397348	3.37732090860764	-8.43721296579133	2.91751195592951	-8.53282487738598	-7.24550581942876	-10.2697904715522	-8.38082178394093	-8.22593618196276	2.09342833999214	3.37775539740101	-0.493337130185534	-10.1584293626045	1.60160619666605	-2.11878959769651	-2.2674268787048	-2.64954801464675	-8.63522588463128	3.84137740636982	-1.46354916980529	-8.55979192498625	-2.8375321323847	-4.64313502253107	-7.7830919871459	1.03437772765644	-9.85475297227334	-5.33876117910803	-6.56866587561951	-1.73672516502793	1.65607070700669	-1.56776746663922
SRR5665163	-3.63325535654822	-0.439558939056203	-1.55465467614051	4.25707626235511	0.602884408718419	1.98736816663059	0.522799007759982	1.35828935001651	-6.83732590051516	-4.83423595493283	3.58201519208501	-2.82884442376007	-9.10979458735361	-4.35078004302706	2.32820744532721	-8.43721296579133	1.1300214877735	0.565060939538947	-6.24550581942876	-10.2697904715522	-4.77595972578207	-0.396441303791462	2.04098007652894	1.19812321703555	0.981779603590194	-1.5818640360405	4.9012188067712	-0.907088979815868	0.438346086576326	-6.84559825713022	-8.63522588463128	1.21637415267497	-7.47136867426459	0.257505516547785	-7.90228134235593	-1.95589969573024	-7.7830919871459	0.520608309613877	-9.85475297227334	0.227814995125971	-5.56866587561951	0.147879754991554	-1.19634311275384	-7.46625726044699
SRR5665162	-7.78786649246624	-5.72699742507497	-4.74932941951733	-6.5455713940513	-2.79766378006652	-2.68761363503091	-4.01671631880917	5.00385000996821	-6.83732590051516	-3.83423595493283	2.38448089262535	-2.82884442376007	-9.10979458735361	-4.35078004302706	-1.6111381885767	-0.0614507262339457	-3.32496094007642	-3.91180411647444	-6.1729289322996	-10.2697904715522	-5.74777813437766	-8.22593618196276	-2.89453646520064	2.42656265724445	-9.52749143308294	-4.17709857404855	-2.91169554928916	-4.65799148853219	-5.59144029562359	-6.84559825713022	-2.58614599595407	0.622040102088664	-7.47136867426459	-8.55979192498625	-3.28982725172034	2.39952659571298	-7.7830919871459	1.98361203325257	-9.85475297227334	-4.75711096503262	2.03225956616369	-1.56776746663922	-1.67701047212199	-7.46625726044699
SRR5665161	-7.78786649246624	-7.73005722482403	-8.41981591555679	6.07447161209835	-6.23188767941459	1.39208657310375	-9.41488362001456	-0.28831127863855	-6.83732590051516	-4.83423595493283	0.522256667626701	-2.82884442376007	-9.10979458735361	1.59515034314238	-2.39327352498719	-8.43721296579133	-1.52499815224885	-8.53282487738598	-7.24550581942876	-10.2697904715522	-8.38082178394093	-8.22593618196276	-1.54506610128767	-2.47168873972145	-2.44253599205688	-10.1584293626045	-0.798541781961648	-9.23026210736555	-7.43721296579133	-6.84559825713022	-8.63522588463128	-7.94075549017056	1.97077268448952	-0.800249143284163	-7.90228134235593	-7.96578428466209	-7.7830919871459	-1.07865507832227	-9.85475297227334	-6.67964241182779	4.08888362035992	-1.1060321009831	-5.78627323439058	-7.46625726044699
SRR5665160	-7.78786649246624	-7.73005722482403	-8.41981591555679	-6.5455713940513	-6.23188767941459	4.0896337361069	-9.41488362001456	-7.56115360044448	-6.83732590051516	5.09465749823226	3.34077588031534	-2.82884442376007	-9.10979458735361	-1.17270125218536	-8.15020885579951	-8.43721296579133	2.08753412559711	-8.53282487738598	-7.24550581942876	-10.2697904715522	-8.38082178394093	1.81557952742221	1.78227435449508	-1.62727072934028	-9.52749143308294	-10.1584293626045	0.351888352580527	-9.23026210736555	-7.43721296579133	-6.84559825713022	-8.63522588463128	2.96323550467791	-7.47136867426459	-8.55979192498625	-7.90228134235593	-7.96578428466209	-7.7830919871459	-8.08411966534174	-9.85475297227334	-6.67964241182779	-6.56866587561951	-7.86985986466355	3.794272369545	-7.46625726044699
SRR5665159	-7.78786649246624	0.277960950071897	-1.04103115244424	2.18475952603916	-2.31451728193274	-1.46434513950321	0.096477768805563	-0.372150398664978	-6.83732590051516	3.76960567168495	3.95909408121852	-2.82884442376007	-9.10979458735361	5.00639542721578	1.42469639759116	-0.939675866848896	-1.58013754962248	-8.53282487738598	-7.24550581942876	-6.27984413621611	-8.38082178394093	-8.22593618196276	4.39342306520131	0.178568054000528	-9.52749143308294	-10.1584293626045	-4.13568110874205	-0.08413495857749	-7.43721296579133	-6.84559825713022	-8.63522588463128	-0.81893562470275	-7.47136867426459	-8.55979192498625	-7.90228134235593	-7.96578428466209	-7.7830919871459	0.568275371788277	-9.85475297227334	-6.67964241182779	-0.196524957082345	-4.09739383160763	-4.35549762758106	-1.54569774489938
